char	desc	sceneNum	sceneMarker
(upset)	brian	3.	scene
(annoyingly)	misc	3.	scene
(angry)	misc	4.	scene
(quietly to himself)	brian	6.	scene
(to herself)	claire	6.	scene
(disgusted)	claire	6.	scene
(disgusted)	claire	6.	scene
(to Bender)	claire	6.	scene
(to Claire about Bender)	andrew	6.	scene
(nervous)	brian	6.	scene
(to Bender)	andrew	6.	scene
(to Andrew)	claire	6.	scene
(to Claire)	bender	6.	scene
(to Andrew and Claire)	bender	6.	scene
(a beat)	bender	6.	scene
(another beat)	bender	6.	scene
(another beat)	bender	6.	scene
(screams)	claire	6.	scene
(screams)	andrew	6.	scene
(yells)	vernon	7.	scene
(to himself)	vernon	7.	scene
(to himself)	andrew	7.	scene
(to Claire)	bender	7.	scene
(to himself)	bender	7.	scene
(with mock enthusiasm)	bender	7.	scene
(to no one imparticular)	brian	7.	scene
(to Claire)	bender	7.	scene
(to Brian)	bender	7.	scene
(to Brian)	bender	7.	scene
(to Bender)	claire	7.	scene
(laughs)	claire	7.	scene
(to Bender)	claire	7.	scene
(to Andrew)	bender	7.	scene
(with mock hurt)	bender	7.	scene
(to Brian)	andrew	7.	scene
(defensive)	andrew	7.	scene
(in a stern voice)	bender	7.	scene
(screams)	bender	11.	scene
(to Bender)	vernon	12.	scene
(to Claire)	vernon	12.	scene
(pointing)	vernon	12.	scene
(to Brian)	bender	12.	scene
(to Andrew)	vernon	12.	scene
(to Andrew)	vernon	12.	scene
(to Bender)	vernon	12.	scene
(under his breath)	bender	12.	scene
(loudly)	bender	12.	scene
(worried)	claire	12.	scene
(to Bender)	vernon	12.	scene
(to Brian)	vernon	12.	scene
(to Bender)	vernon	12.	scene
(to everyone)	vernon	12.	scene
(Bender mouths "I'm cracking skulls")	vernon	12.	scene
(screams)	bender	12.	scene
(pronouncing it correctly)	claire	14.	scene
(loudly)	allison	14.	scene
(to Brian)	andrew	14.	scene
(to Brian)	bender	14.	scene
(to Bender)	claire	14.	scene
(resentfully)	claire	14.	scene
(a beat)	bender	14.	scene
(another beat)	bender	14.	scene
(a beat)	bender	14.	scene
(to Allison)	vernon	16.	scene
(to Brian)	bender	17.	scene
(to Claire)	brian	17.	scene
(to Bender)	brian	17.	scene
(to Brian)	claire	17.	scene
(in a loud and friendly voice)	bender	18.	scene
(in a kiddie voice)	bender	18.	scene
(loud)	bender	18.	scene
(kiddie)	bender	18.	scene
(loud)	bender	18.	scene
(kiddie)	bender	18.	scene
(loud)	bender	18.	scene
(kiddie)	bender	18.	scene
(loud)	bender	18.	scene
(quiet and motherly)	bender	18.	scene
(as his father)	bender	18.	scene
(as his mother)	bender	18.	scene
(as his father)	bender	18.	scene
(as himself)	bender	18.	scene
(as his father)	bender	18.	scene
(as himself)	bender	18.	scene
(as his father)	bender	18.	scene
(as himself--yelling)	bender	18.	scene
(as his father--yelling)	bender	18.	scene
(to Brian)	bender	18.	scene
(to Andrew)	claire	18.	scene
(to Bender)	claire	20.	scene
(to Andrew)	brian	20.	scene
(to Claire)	brian	20.	scene
(to Andrew)	claire	20.	scene
(to everyone)	vernon	21.	scene
(to Vernon)	bender	21.	scene
(a beat)	vernon	21.	scene
(to Andrew)	vernon	21.	scene
(to everybody)	vernon	21.	scene
(to Bender)	vernon	21.	scene
(to himself)	bender	22.	scene
(screaming)	bender	22.	scene
(flustered)	claire	24.	scene
(to Claire)	vernon	24.	scene
(to himself)	vernon	27.	scene
(a beat)	allison	28.	scene
(shrugs)	claire	28.	scene
(like it's obvious)	brian	28.	scene
(with feeling)	allison	28.	scene
(to Claire)	allison	30.	scene
(to Andrew)	bender	30.	scene
(screaming)	claire	30.	scene
(to Andrew)	claire	30.	scene
(to Andrew)	brian	30.	scene
(to Brian)	andrew	30.	scene
(he's crying)	andrew	30.	scene
(to Andrew)	claire	30.	scene
(he turns to Claire)	bender	30.	scene
(furious)	bender	30.	scene
(quietly)	claire	30.	scene
(angry)	claire	30.	scene
(furious)	claire	30.	scene
(furious and screaming at Claire)	bender	30.	scene
(furious once again)	bender	30.	scene
(furious and sobbing)	claire	30.	scene
(to Allison)	brian	30.	scene
(crying again)	claire	30.	scene
(with pity)	claire	30.	scene
(with pride)	brian	33.	scene
(to Allison)	claire	33.	scene
(smiling)	allison	35.	scene
(laughing)	andrew	37.	scene
(to Carl)	bender	38.	scene
(CONT'D)	brian	41.	scene
